reviewer,vote,hotel,city,nation
 Sunshine731936,10.0,Inn The Garden, 95128 Catania,Italia
Fabio G,10.0,Hotel Anna Fetovaia, 57034 Fetovaia,Italia
 giuseppe f,10.0,Hotel Anna Fetovaia, 57034 Fetovaia,Italia
 Salvatore M.,10.0,Hotel Anna Fetovaia, 57034 Fetovaia,Italia
 Rachele F,8.0,Hotel Anna Fetovaia, 57034 Fetovaia,Italia
 SpyDep,10.0,Hotel Anna Fetovaia, 57034 Fetovaia,Italia
Sabrina S,8.0,Agriturismo Terrauzza sul Mare, Siracusa,Italia
 arrembaggi0,8.0,Agriturismo Terrauzza sul Mare, Siracusa,Italia
 macla2003,10.0,Agriturismo Terrauzza sul Mare, Siracusa,Italia
 Phosphoros,10.0,Agriturismo Terrauzza sul Mare, Siracusa,Italia
 roberto g,6.0,Agriturismo Terrauzza sul Mare, Siracusa,Italia
Claudio R,4.0,Le Bifore Charming House,Lecce,Italia
 Rosanna,10.0,Le Bifore Charming House,Lecce,Italia
 Giulia,4.0,Le Bifore Charming House,Lecce,Italia
 The_gra73,8.0,Le Bifore Charming House,Lecce,Italia
 Emy,6.0,Le Bifore Charming House,Lecce,Italia
Celestino e Teresa,10.0,B&B Coccolhouse Suite,Lecce,Italia
 Giada C,10.0,B&B Coccolhouse Suite,Lecce,Italia
 Laura C,10.0,B&B Coccolhouse Suite,Lecce,Italia
 Dominga S,10.0,B&B Coccolhouse Suite,Lecce,Italia
 Beatrice R,10.0,B&B Coccolhouse Suite,Lecce,Italia
extrasun,6.0,Borgo Verde Hotel, 95123 Catania,Italia
 ThL,4.0,Borgo Verde Hotel, 95123 Catania,Italia
 Sandra B,8.0,Borgo Verde Hotel, 95123 Catania,Italia
 Riccardo M,4.0,Borgo Verde Hotel, 95123 Catania,Italia
 TinaTofficial,8.0,Borgo Verde Hotel, 95123 Catania,Italia
Umberto V,8.0,Mercure Bologna Centro,Viale Pietramellara 59,Italia
 robirogna,2.0,Mercure Bologna Centro,Viale Pietramellara 59,Italia
 giovanna B,8.0,Mercure Bologna Centro,Viale Pietramellara 59,Italia
 Sara T,6.0,Mercure Bologna Centro,Viale Pietramellara 59,Italia
 andreasiniscalchi,10.0,Mercure Bologna Centro,Viale Pietramellara 59,Italia
Elisa,2.0,Elephant's Smile B&B, 95131 Catania,Italia
 Alice Z,10.0,Elephant's Smile B&B, 95131 Catania,Italia
 Panda C,6.0,Elephant's Smile B&B, 95131 Catania,Italia
 Sara C,10.0,Elephant's Smile B&B, 95131 Catania,Italia
 Danilo Pau,10.0,Elephant's Smile B&B, 95131 Catania,Italia
Michele P,10.0,B&B Le Mura,Lecce,Italia
 Adamantea80,10.0,B&B Le Mura,Lecce,Italia
 Mary614,10.0,B&B Le Mura,Lecce,Italia
 Davide,10.0,B&B Le Mura,Lecce,Italia
 Dario R,10.0,B&B Le Mura,Lecce,Italia
Ramona D,6.0,Hotel Florida, 56128 Tirrenia,Italia
 dede1973,6.0,Hotel Florida, 56128 Tirrenia,Italia
 Nicco,6.0,Hotel Florida, 56128 Tirrenia,Italia
 Lara A,4.0,Hotel Florida, 56128 Tirrenia,Italia
 marta g,2.0,Hotel Florida, 56128 Tirrenia,Italia
Fabrizio Z,10.0,La Fattoria, Rio Nell'Elba,Italia
 Paolopro P,8.0,La Fattoria, Rio Nell'Elba,Italia
 e Z,10.0,La Fattoria, Rio Nell'Elba,Italia
 Zam C,10.0,La Fattoria, Rio Nell'Elba,Italia
 Paolopro P,8.0,La Fattoria, Rio Nell'Elba,Italia
Gionata WT,10.0,Il Melo Residence, 07046 Porto Torres,Italia
 Angelo P,10.0,Il Melo Residence, 07046 Porto Torres,Italia
 Glooooo,8.0,Il Melo Residence, 07046 Porto Torres,Italia
 Stefano G,2.0,Il Melo Residence, 07046 Porto Torres,Italia
 niccobale,10.0,Il Melo Residence, 07046 Porto Torres,Italia
Sara G,2.0,Crispi Rooms, 95131 Catania,Italia
 Road62778500237,10.0,Crispi Rooms, 95131 Catania,Italia
 valebaj,4.0,Crispi Rooms, 95131 Catania,Italia
 Silvio F,10.0,Crispi Rooms, 95131 Catania,Italia
 marina p,10.0,Crispi Rooms, 95131 Catania,Italia
Massimiliano P,10.0,B&B Alchimia Napoletana,Napoli,Italia
 Maria Rosaria Boffardi,10.0,B&B Alchimia Napoletana,Napoli,Italia
 bode74,8.0,B&B Alchimia Napoletana,Napoli,Italia
 Chiara,10.0,B&B Alchimia Napoletana,Napoli,Italia
 Beatrice M,8.0,B&B Alchimia Napoletana,Napoli,Italia
Indiabella54,6.0,Hotel Donatella, Posada,Italia
 Angela P,10.0,Hotel Donatella, Posada,Italia
 Claudio Bollini,10.0,Hotel Donatella, Posada,Italia
 teogoloso,10.0,Hotel Donatella, Posada,Italia
 MonyS86,6.0,Hotel Donatella, Posada,Italia
pasquale g,10.0,Residence Verbena,Rimini,Italia
 Domenico I,10.0,Residence Verbena,Rimini,Italia
 Mary Q,10.0,Residence Verbena,Rimini,Italia
 Alice S,8.0,Residence Verbena,Rimini,Italia
 Andrea T,10.0,Residence Verbena,Rimini,Italia
Obaobaviareggio,8.0,La Ghirlanda, Cagliari,Italia
 Principessa_anitab86,10.0,La Ghirlanda, Cagliari,Italia
 ENZO C,8.0,La Ghirlanda, Cagliari,Italia
 Mariani F,8.0,La Ghirlanda, Cagliari,Italia
 Roberta N,10.0,La Ghirlanda, Cagliari,Italia
Andy S.,10.0,Colosseo Panoramic Rooms,Via Nicola Salvi 68,Italia
 eloisettaeandrea,10.0,Colosseo Panoramic Rooms,Via Nicola Salvi 68,Italia
 Mangio&Rimangio,10.0,Colosseo Panoramic Rooms,Via Nicola Salvi 68,Italia
 Massimo A,10.0,Colosseo Panoramic Rooms,Via Nicola Salvi 68,Italia
 tany83,10.0,Colosseo Panoramic Rooms,Via Nicola Salvi 68,Italia
Luca1177,10.0,Eden Park Selfotel - Parco Vacanze,C.da Porto Ponente.-37,Italia
 Davide C,2.0,Eden Park Selfotel - Parco Vacanze,C.da Porto Ponente.-37,Italia
 Samantha B,10.0,Eden Park Selfotel - Parco Vacanze,C.da Porto Ponente.-37,Italia
 Luca1177,10.0,Eden Park Selfotel - Parco Vacanze,C.da Porto Ponente.-37,Italia
 Everxever,10.0,Eden Park Selfotel - Parco Vacanze,C.da Porto Ponente.-37,Italia
monikapoland2015,10.0,Agriturismo Mio Capitano, Siracusa,Italia
 Cristina B,6.0,Agriturismo Mio Capitano, Siracusa,Italia
 Miriam M,2.0,Agriturismo Mio Capitano, Siracusa,Italia
 Nikolaballa,10.0,Agriturismo Mio Capitano, Siracusa,Italia
Salvatore A,10.0,B&B Megaride Santa Lucia,Napoli,Italia
 abc,8.0,B&B Megaride Santa Lucia,Napoli,Italia
 Marcello V,8.0,B&B Megaride Santa Lucia,Napoli,Italia
 Elena P,10.0,B&B Megaride Santa Lucia,Napoli,Italia
 Elena B,8.0,B&B Megaride Santa Lucia,Napoli,Italia
Carmen S,10.0,Hotel Ca' Vendramin di Santa Fosca,Cannaregio 2400,Italia
 Francesca C,6.0,Hotel Ca' Vendramin di Santa Fosca,Cannaregio 2400,Italia
 Ruby R,10.0,Hotel Ca' Vendramin di Santa Fosca,Cannaregio 2400,Italia
 Turistabellavita,10.0,Hotel Ca' Vendramin di Santa Fosca,Cannaregio 2400,Italia
 Ricothebully,10.0,Hotel Ca' Vendramin di Santa Fosca,Cannaregio 2400,Italia
gabriele r,2.0,Hotel Cecile,Pisa,Italia
 Lorenzo,4.0,Hotel Cecile,Pisa,Italia
 Bruno F,6.0,Hotel Cecile,Pisa,Italia
 Pierfrancesco C,6.0,Hotel Cecile,Pisa,Italia
 Massimiliano S,2.0,Hotel Cecile,Pisa,Italia
Antoniana Magistro,10.0,B&B La Dimora di Nettuno,Napoli,Italia
 Cosimo C,10.0,B&B La Dimora di Nettuno,Napoli,Italia
 LEONE68Venezia,10.0,B&B La Dimora di Nettuno,Napoli,Italia
 Andrea F,10.0,B&B La Dimora di Nettuno,Napoli,Italia
 Ermini C,8.0,B&B La Dimora di Nettuno,Napoli,Italia
radio65,8.0,Relais Ristori,Verona,Italia
 Sofia T,8.0,Relais Ristori,Verona,Italia
 viviippo95,10.0,Relais Ristori,Verona,Italia
 Luigi_1970Roma,10.0,Relais Ristori,Verona,Italia
 kompa1965,10.0,Relais Ristori,Verona,Italia
Neusa M,10.0,Daphne Trevi,Via degli Avignonesi 20,Italia
 martuccia11,10.0,Daphne Trevi,Via degli Avignonesi 20,Italia
 LuisaPelle,8.0,Daphne Trevi,Via degli Avignonesi 20,Italia
 Babi978,10.0,Daphne Trevi,Via degli Avignonesi 20,Italia
 richi g,4.0,Daphne Trevi,Via degli Avignonesi 20,Italia
Bernardo C,10.0,The Artists' Palace,Firenze,Italia
 Serena2804,10.0,The Artists' Palace,Firenze,Italia
 Danielatvl,10.0,The Artists' Palace,Firenze,Italia
 Marina M,10.0,The Artists' Palace,Firenze,Italia
 Beattrice,10.0,The Artists' Palace,Firenze,Italia
struffetta,10.0,Hotel Adler Cavalieri,Firenze,Italia
 tata81,10.0,Hotel Adler Cavalieri,Firenze,Italia
 Violaaaaaa,10.0,Hotel Adler Cavalieri,Firenze,Italia
 Cinzia,6.0,Hotel Adler Cavalieri,Firenze,Italia
 P.C.,6.0,Hotel Adler Cavalieri,Firenze,Italia
LightPacker564934,10.0,B&B Palazzo Corvino, Palermo,Italia
 Alessandro R,10.0,B&B Palazzo Corvino, Palermo,Italia
 Rita T,10.0,B&B Palazzo Corvino, Palermo,Italia
 Rebecca M,10.0,B&B Palazzo Corvino, Palermo,Italia
 Judith I,10.0,B&B Palazzo Corvino, Palermo,Italia
Gianluca Lorenzetti,10.0,Hotel Principe Di Savoia,Piazza della Repubblica 17,Italia
 paolo p,10.0,Hotel Principe Di Savoia,Piazza della Repubblica 17,Italia
 Francy77,10.0,Hotel Principe Di Savoia,Piazza della Repubblica 17,Italia
 Scintilla71,8.0,Hotel Principe Di Savoia,Piazza della Repubblica 17,Italia
 Michele,10.0,Hotel Principe Di Savoia,Piazza della Repubblica 17,Italia
Igor D,10.0,B&B Il Quinto Moro, Arbus,Italia
 Giulia B,10.0,B&B Il Quinto Moro, Arbus,Italia
 Sarah&Ale,10.0,B&B Il Quinto Moro, Arbus,Italia
 stellalin2014,10.0,B&B Il Quinto Moro, Arbus,Italia
 soniaportotorres,10.0,B&B Il Quinto Moro, Arbus,Italia
Sciaira,8.0,Casa Munay,Via Angelo Venturoli 3,Italia
 Francesca M,10.0,Casa Munay,Via Angelo Venturoli 3,Italia
 xsmassi,10.0,Casa Munay,Via Angelo Venturoli 3,Italia
 fasix,8.0,Casa Munay,Via Angelo Venturoli 3,Italia
 Riccardo P,10.0,Casa Munay,Via Angelo Venturoli 3,Italia
claudiafox1,6.0,La Casa Delle Farfalle, Siracusa,Italia
 Gio82ta,4.0,La Casa Delle Farfalle, Siracusa,Italia
 Simontanari,10.0,La Casa Delle Farfalle, Siracusa,Italia
 Valentino L,8.0,La Casa Delle Farfalle, Siracusa,Italia
 larobyv,10.0,La Casa Delle Farfalle, Siracusa,Italia
Roberto P,10.0,Hotel Amicizia,Rimini,Italia
 OlyMartucci,10.0,Hotel Amicizia,Rimini,Italia
 Markusiena,10.0,Hotel Amicizia,Rimini,Italia
 gitambu,10.0,Hotel Amicizia,Rimini,Italia
 Giacomo B,10.0,Hotel Amicizia,Rimini,Italia
Flavio R,8.0,UNAHOTELS Cusani Milano,Via Cusani 13,Italia
 lalero82,10.0,UNAHOTELS Cusani Milano,Via Cusani 13,Italia
 buonaforchetta,6.0,UNAHOTELS Cusani Milano,Via Cusani 13,Italia
 Beauty 94,10.0,UNAHOTELS Cusani Milano,Via Cusani 13,Italia
 AlbytheBest59,8.0,UNAHOTELS Cusani Milano,Via Cusani 13,Italia
fcangiano,8.0,Hotel Costantinopoli 104,Napoli,Italia
 m758,2.0,Hotel Costantinopoli 104,Napoli,Italia
 Franca B,10.0,Hotel Costantinopoli 104,Napoli,Italia
 Vittorio905,10.0,Hotel Costantinopoli 104,Napoli,Italia
 Anna N,10.0,Hotel Costantinopoli 104,Napoli,Italia
Cosimo F,6.0,DEDO Boutique Hotel,Firenze,Italia
 Edoardo G,8.0,DEDO Boutique Hotel,Firenze,Italia
 Marangoni R,8.0,DEDO Boutique Hotel,Firenze,Italia
 sonoiox,10.0,DEDO Boutique Hotel,Firenze,Italia
 vanessa1234567,10.0,DEDO Boutique Hotel,Firenze,Italia
Safari538392,10.0,Hotel Mulino di Firenze,Firenze,Italia
 Marco,10.0,Hotel Mulino di Firenze,Firenze,Italia
 GiuliaLatina80,10.0,Hotel Mulino di Firenze,Firenze,Italia
 chiccoviaggia,8.0,Hotel Mulino di Firenze,Firenze,Italia
 Davide,8.0,Hotel Mulino di Firenze,Firenze,Italia
Francesca B,10.0,The Frame Hotel,Firenze,Italia
 Borellhills,8.0,The Frame Hotel,Firenze,Italia
 Federica_Berg,8.0,The Frame Hotel,Firenze,Italia
 Sonia,10.0,The Frame Hotel,Firenze,Italia
 Mauro,10.0,The Frame Hotel,Firenze,Italia
mircomeneghel0,8.0,La Coccinella Rooms Self Check-In,Pisa,Italia
adriamarinets,10.0,Hotel Spadari al Duomo,Milano,Italia
 posta2020,10.0,Hotel Spadari al Duomo,Milano,Italia
 incredible2018,10.0,Hotel Spadari al Duomo,Milano,Italia
 Antonio P,8.0,Hotel Spadari al Duomo,Milano,Italia
 Letizia,10.0,Hotel Spadari al Duomo,Milano,Italia
Giorgio Sanfrancesco,10.0,Giardini di Marzo,Lecce,Italia
 Angelo A,10.0,Giardini di Marzo,Lecce,Italia
 diego m,10.0,Giardini di Marzo,Lecce,Italia
 Ciccia2007,8.0,Giardini di Marzo,Lecce,Italia
 sabina_nigro,10.0,Giardini di Marzo,Lecce,Italia
Gianni,8.0,Hotel Derby,Rimini,Italia
 Alessandro I,6.0,Hotel Derby,Rimini,Italia
 Morgana  R,10.0,Hotel Derby,Rimini,Italia
 marco s,8.0,Hotel Derby,Rimini,Italia
 Alfius Cornelius,10.0,Hotel Derby,Rimini,Italia
chiccadoccioli,8.0,Best Quality Hotel Politecnico,Corso Peschiera 117Bis,Italia
 Praha79,2.0,Best Quality Hotel Politecnico,Corso Peschiera 117Bis,Italia
 vento21,8.0,Best Quality Hotel Politecnico,Corso Peschiera 117Bis,Italia
 Dariosc8,10.0,Best Quality Hotel Politecnico,Corso Peschiera 117Bis,Italia
 Luigi Ermanno,10.0,Best Quality Hotel Politecnico,Corso Peschiera 117Bis,Italia
Gianlucasib5,10.0,22 Marzo Hotel,Milano,Italia
 AlessiaJ,6.0,22 Marzo Hotel,Milano,Italia
 Silvia M,10.0,22 Marzo Hotel,Milano,Italia
 Greta,6.0,22 Marzo Hotel,Milano,Italia
 Prakash32,8.0,22 Marzo Hotel,Milano,Italia
Giulia B,4.0,StraVagante Hostel,Verona,Italia
 Arianna Rossi,6.0,StraVagante Hostel,Verona,Italia
 triptraptroptrep,10.0,StraVagante Hostel,Verona,Italia
 Angelo M,10.0,StraVagante Hostel,Verona,Italia
 Patripas,10.0,StraVagante Hostel,Verona,Italia
Silvia C,10.0,Bed and Breakfast Da Sabina, Santa Marina Salina,Italia
 titti21,10.0,Bed and Breakfast Da Sabina, Santa Marina Salina,Italia
 pipetto93,8.0,Bed and Breakfast Da Sabina, Santa Marina Salina,Italia
 giraingiroanto,10.0,Bed and Breakfast Da Sabina, Santa Marina Salina,Italia
 DOMENICOS1762001,10.0,Bed and Breakfast Da Sabina, Santa Marina Salina,Italia
Monica,10.0,La Cessuta - Case di Campagna, Parco Nazionale del Cilento e Vallo di Diano,Italia
 Marina C,10.0,La Cessuta - Case di Campagna, Parco Nazionale del Cilento e Vallo di Diano,Italia
 Giovanni R,10.0,La Cessuta - Case di Campagna, Parco Nazionale del Cilento e Vallo di Diano,Italia
 Salvatore G,10.0,La Cessuta - Case di Campagna, Parco Nazionale del Cilento e Vallo di Diano,Italia
 Iannone A,10.0,La Cessuta - Case di Campagna, Parco Nazionale del Cilento e Vallo di Diano,Italia
samanta_pagni,10.0,Hotel da Italo, 57034 Seccheto,Italia
 SanTommaso,10.0,Hotel da Italo, 57034 Seccheto,Italia
 Gass1975,10.0,Hotel da Italo, 57034 Seccheto,Italia
 Michele B,10.0,Hotel da Italo, 57034 Seccheto,Italia
 Sav,8.0,Hotel da Italo, 57034 Seccheto,Italia
danilopizzichetta,10.0,Monteoliveto 33,Napoli,Italia
 Domenico,10.0,Monteoliveto 33,Napoli,Italia
 eva c,10.0,Monteoliveto 33,Napoli,Italia
 Mia N,10.0,Monteoliveto 33,Napoli,Italia
 Luca S,10.0,Monteoliveto 33,Napoli,Italia
Alessandra F,10.0,Hotel Tirrena, Portoferraio,Italia
 albinod2013,10.0,Hotel Tirrena, Portoferraio,Italia
 maura p,10.0,Hotel Tirrena, Portoferraio,Italia
 Simona R,10.0,Hotel Tirrena, Portoferraio,Italia
 000maurizio68,10.0,Hotel Tirrena, Portoferraio,Italia
claudia09 v,10.0,Su Corittu, Alghero,Italia
 Virginia G,10.0,Su Corittu, Alghero,Italia
 pina201463,8.0,Su Corittu, Alghero,Italia
 ivangarciaofficial,10.0,Su Corittu, Alghero,Italia
 RobertaFontana71,10.0,Su Corittu, Alghero,Italia
davidefefe,4.0,LARALA' ai giardini bed&breakfast,Lecce,Italia
 Marco M,10.0,LARALA' ai giardini bed&breakfast,Lecce,Italia
 Luca V,6.0,LARALA' ai giardini bed&breakfast,Lecce,Italia
 gioiaGrey,8.0,LARALA' ai giardini bed&breakfast,Lecce,Italia
 Monia R,8.0,LARALA' ai giardini bed&breakfast,Lecce,Italia
miriam-pd,8.0,Hotel Giardino Inglese, Palermo,Italia
 Kalos1,8.0,Hotel Giardino Inglese, Palermo,Italia
 angela0809,6.0,Hotel Giardino Inglese, Palermo,Italia
 Mava1959,8.0,Hotel Giardino Inglese, Palermo,Italia
 Piè Veloce,6.0,Hotel Giardino Inglese, Palermo,Italia
Alfredo A,10.0,Hotel Villa Primavera,Pisa,Italia
 Sciaira,10.0,Hotel Villa Primavera,Pisa,Italia
 Pumba,4.0,Hotel Villa Primavera,Pisa,Italia
 Elena B,6.0,Hotel Villa Primavera,Pisa,Italia
 49luckylu,8.0,Hotel Villa Primavera,Pisa,Italia
valeriapuffo,6.0,Vecchia Verona,Verona,Italia
 Letizia L,10.0,Vecchia Verona,Verona,Italia
 Francesca P,10.0,Vecchia Verona,Verona,Italia
 Mielevayron,10.0,Vecchia Verona,Verona,Italia
 Fra_24_L,10.0,Vecchia Verona,Verona,Italia
alessia,10.0,Rosso di Mare Alghero, Alghero,Italia
SIMOVALE70,10.0,B&B Napolinn,Napoli,Italia
 Roberta F,10.0,B&B Napolinn,Napoli,Italia
 Paola S,10.0,B&B Napolinn,Napoli,Italia
 Alessandro Cigni,10.0,B&B Napolinn,Napoli,Italia
 Daniela,10.0,B&B Napolinn,Napoli,Italia
TheRosa,10.0,Hotel Ai Reali di Venezia, Campo della Fava 5527,Italia
 Chuck&Molly,6.0,Hotel Ai Reali di Venezia, Campo della Fava 5527,Italia
 eli13,8.0,Hotel Ai Reali di Venezia, Campo della Fava 5527,Italia
 Ingrid04071977,10.0,Hotel Ai Reali di Venezia, Campo della Fava 5527,Italia
 Samylovefede,10.0,Hotel Ai Reali di Venezia, Campo della Fava 5527,Italia
F&B,8.0,Hotel VIU Milan,Via Aristotele Fioravanti 6,Italia
 thiene2016,10.0,Hotel VIU Milan,Via Aristotele Fioravanti 6,Italia
 Marco,10.0,Hotel VIU Milan,Via Aristotele Fioravanti 6,Italia
 roby83fashion,6.0,Hotel VIU Milan,Via Aristotele Fioravanti 6,Italia
 Herr Direktor,10.0,Hotel VIU Milan,Via Aristotele Fioravanti 6,Italia
Mirian Liguori,10.0,B&b Babbai Giommi, Alghero,Italia
 Andrea,10.0,B&b Babbai Giommi, Alghero,Italia
 Anna rosa,10.0,B&b Babbai Giommi, Alghero,Italia
 Alessia T,10.0,B&b Babbai Giommi, Alghero,Italia
 3nr1c088,10.0,B&b Babbai Giommi, Alghero,Italia
Martina B,10.0,A Casa di Nene, Parco Nazionale del Cilento e Vallo di Diano,Italia
 Escape377132,8.0,A Casa di Nene, Parco Nazionale del Cilento e Vallo di Diano,Italia
 anty064,10.0,A Casa di Nene, Parco Nazionale del Cilento e Vallo di Diano,Italia
 Fiorella R,6.0,A Casa di Nene, Parco Nazionale del Cilento e Vallo di Diano,Italia
 vittoriaincoronato,2.0,A Casa di Nene, Parco Nazionale del Cilento e Vallo di Diano,Italia
remo662016,8.0,B&B Hotel Torino,Corso Orbassano 470,Italia
 Dott. Lupino,10.0,B&B Hotel Torino,Corso Orbassano 470,Italia
 440mauro,10.0,B&B Hotel Torino,Corso Orbassano 470,Italia
 Claudio R,6.0,B&B Hotel Torino,Corso Orbassano 470,Italia
 Stefano D,10.0,B&B Hotel Torino,Corso Orbassano 470,Italia
sebastiano p,8.0,Hotel & SPA Riviera, Castelsardo,Italia
 gianfranco b,8.0,Hotel & SPA Riviera, Castelsardo,Italia
 Giuseppe,10.0,Hotel & SPA Riviera, Castelsardo,Italia
 Giovanni T,8.0,Hotel & SPA Riviera, Castelsardo,Italia
 AnastasiaGatta,10.0,Hotel & SPA Riviera, Castelsardo,Italia
Matteo M.,10.0,Mirage Bed & Breakfast,Lecce,Italia
 Carmen C,2.0,Mirage Bed & Breakfast,Lecce,Italia
 gigivinci,4.0,Mirage Bed & Breakfast,Lecce,Italia
 EnZa D,2.0,Mirage Bed & Breakfast,Lecce,Italia
 Ludovica,2.0,Mirage Bed & Breakfast,Lecce,Italia
davide c,10.0,Bed & Breakfast Cesarina,Via E. Weber N. 10,Italia
 Elena,6.0,Bed & Breakfast Cesarina,Via E. Weber N. 10,Italia
 Arm-olly,8.0,Bed & Breakfast Cesarina,Via E. Weber N. 10,Italia
 Roberto Sonego,10.0,Bed & Breakfast Cesarina,Via E. Weber N. 10,Italia
 Letizia D,10.0,Bed & Breakfast Cesarina,Via E. Weber N. 10,Italia
"Ornello C,10.0,""The Street Milano Duomo, a Design Boutique Hotel"",Via Santa Radegonda 14,Italia"
" Ylenia D,10.0,""The Street Milano Duomo, a Design Boutique Hotel"",Via Santa Radegonda 14,Italia"
" Angela P,10.0,""The Street Milano Duomo, a Design Boutique Hotel"",Via Santa Radegonda 14,Italia"
" Ale,10.0,""The Street Milano Duomo, a Design Boutique Hotel"",Via Santa Radegonda 14,Italia"
" Paola M,10.0,""The Street Milano Duomo, a Design Boutique Hotel"",Via Santa Radegonda 14,Italia"
P.B.,8.0,Agriturismo Corte Carolina,Verona,Italia
 nicolagambardella,10.0,Agriturismo Corte Carolina,Verona,Italia
 Roberto B,10.0,Agriturismo Corte Carolina,Verona,Italia
 Simone Z,10.0,Agriturismo Corte Carolina,Verona,Italia
 ninocoppola1968,10.0,Agriturismo Corte Carolina,Verona,Italia
eloise19,10.0,Casa Sotgiu,Viale Giulio Cesare 14 Vicino Metro Lepanto,Italia
 Max B,10.0,Casa Sotgiu,Viale Giulio Cesare 14 Vicino Metro Lepanto,Italia
 Marco I,10.0,Casa Sotgiu,Viale Giulio Cesare 14 Vicino Metro Lepanto,Italia
 Giuseppe R,10.0,Casa Sotgiu,Viale Giulio Cesare 14 Vicino Metro Lepanto,Italia
 Elena F,10.0,Casa Sotgiu,Viale Giulio Cesare 14 Vicino Metro Lepanto,Italia
crissysi,8.0,Agriturismo Bacche di Bosco,Verona,Italia
 José Pereira V,8.0,Agriturismo Bacche di Bosco,Verona,Italia
 nibbia2014,10.0,Agriturismo Bacche di Bosco,Verona,Italia
 Antonella M,10.0,Agriturismo Bacche di Bosco,Verona,Italia
 Valentina,10.0,Agriturismo Bacche di Bosco,Verona,Italia
Laura,10.0,Grand Amore Hotel and Spa,Firenze,Italia
 PinoCipolla,6.0,Grand Amore Hotel and Spa,Firenze,Italia
 CrazyLittleBean,10.0,Grand Amore Hotel and Spa,Firenze,Italia
 Mercuzio01,10.0,Grand Amore Hotel and Spa,Firenze,Italia
 Giuseppe,6.0,Grand Amore Hotel and Spa,Firenze,Italia
JuliaGiuliaJulie,8.0,Agriturismo Due Palme, Portoferraio,Italia
 Matteo A,10.0,Agriturismo Due Palme, Portoferraio,Italia
 giovannibf1958,8.0,Agriturismo Due Palme, Portoferraio,Italia
 Pamela F,10.0,Agriturismo Due Palme, Portoferraio,Italia
 Fabio,8.0,Agriturismo Due Palme, Portoferraio,Italia
FabrizioDG,2.0,Grand Hotel Duomo,Pisa,Italia
 delia s,10.0,Grand Hotel Duomo,Pisa,Italia
 Marco,10.0,Grand Hotel Duomo,Pisa,Italia
 Cristina Q,4.0,Grand Hotel Duomo,Pisa,Italia
 Punzetta1991,10.0,Grand Hotel Duomo,Pisa,Italia
Fabio T,8.0,Hotel Due Colonne, Cagliari,Italia
 senzaester,8.0,Hotel Due Colonne, Cagliari,Italia
 Sara_Mi82,10.0,Hotel Due Colonne, Cagliari,Italia
 Rosaria Visone,10.0,Hotel Due Colonne, Cagliari,Italia
 DayTrip815768,10.0,Hotel Due Colonne, Cagliari,Italia
Stefano P,6.0,Antichi Ovili, Orroli,Italia
 Giacomo,4.0,Antichi Ovili, Orroli,Italia
 Onda su onda,8.0,Antichi Ovili, Orroli,Italia
 Ritina72,10.0,Antichi Ovili, Orroli,Italia
 Vacationer783493,10.0,Antichi Ovili, Orroli,Italia
italian_journalist,10.0,Concord Hotel,Via Lagrange 47,Italia
 fcosse530783,6.0,Concord Hotel,Via Lagrange 47,Italia
 mev_20,6.0,Concord Hotel,Via Lagrange 47,Italia
 fgiudi711050,10.0,Concord Hotel,Via Lagrange 47,Italia
 Davide O,10.0,Concord Hotel,Via Lagrange 47,Italia
Erika,10.0,La Casa di Arturo,Lungodora Firenze 105,Italia
 PiccioneViaggiatore4,10.0,La Casa di Arturo,Lungodora Firenze 105,Italia
 loredana456,10.0,La Casa di Arturo,Lungodora Firenze 105,Italia
 bàbbit,10.0,La Casa di Arturo,Lungodora Firenze 105,Italia
 giuseppe f,10.0,La Casa di Arturo,Lungodora Firenze 105,Italia
marzia,6.0,Il trampoliere,Lecce,Italia
 Daniela,6.0,Il trampoliere,Lecce,Italia
 AlessioeSara13,8.0,Il trampoliere,Lecce,Italia
 Alessia G,10.0,Il trampoliere,Lecce,Italia
 Gigi&Vale,10.0,Il trampoliere,Lecce,Italia
Fiorella M,6.0,Zeus Residence Hotel, 95125 Catania,Italia
 Nadal18,10.0,Zeus Residence Hotel, 95125 Catania,Italia
 Ambassador583070,10.0,Zeus Residence Hotel, 95125 Catania,Italia
 Anna D,10.0,Zeus Residence Hotel, 95125 Catania,Italia
 flexhappy,8.0,Zeus Residence Hotel, 95125 Catania,Italia
Andrea B,10.0,B&B Via Stampatori,Via Stampatori 4,Italia
 Flavia P,10.0,B&B Via Stampatori,Via Stampatori 4,Italia
 Lorenzo C,10.0,B&B Via Stampatori,Via Stampatori 4,Italia
 Laura A,10.0,B&B Via Stampatori,Via Stampatori 4,Italia
 FrancescaG271,10.0,B&B Via Stampatori,Via Stampatori 4,Italia
Nicola T,10.0,Eurostars Hotel Excelsior,Napoli,Italia
 Bruno B,10.0,Eurostars Hotel Excelsior,Napoli,Italia
 radiopompelmo,10.0,Eurostars Hotel Excelsior,Napoli,Italia
 Fraso11,8.0,Eurostars Hotel Excelsior,Napoli,Italia
 Giancarlo F,10.0,Eurostars Hotel Excelsior,Napoli,Italia
Giuseppe P,10.0,Hilton Milan,Via Galvani 12,Italia
 ronoroa,10.0,Hilton Milan,Via Galvani 12,Italia
 nicoman66,8.0,Hilton Milan,Via Galvani 12,Italia
 HecKlein,10.0,Hilton Milan,Via Galvani 12,Italia
